Population,Localidad/ubicación,Año,Edad,Sexo,Causa de muerte o lesión,Medir,Valor,Límite inferior,Límite superior
Toda la población,Argentina,1990,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,222577.97153561283,202413.51581215163,242117.81782799916
Toda la población,Argentina,1991,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,229805.7483190413,209462.4544375716,250579.3922472496
Toda la población,Argentina,1992,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,238479.41158874184,217894.82296026096,259452.42181197583
Toda la población,Argentina,1993,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,241145.17054545102,220166.66114003747,261824.51783199864
Toda la población,Argentina,1994,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,233355.90481202913,213028.84652261235,255126.47017104097
Toda la población,Argentina,1995,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,241768.80155775018,219383.1625071215,263984.2475553515
Toda la población,Argentina,1996,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,244915.21916001878,222337.68899268698,267728.2561975626
Toda la población,Argentina,1997,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,257498.1011064347,235314.55752794808,280585.69321231515
Toda la población,Argentina,1998,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,270810.47574840207,246485.59218512668,293680.06383274676
Toda la población,Argentina,1999,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,280357.73737956665,253538.73897555927,302125.4755721645
Toda la población,Argentina,2000,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,280310.9795406086,252703.87609409797,302274.6135668815
Toda la población,Argentina,2001,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,292641.1213134017,262818.680655365,316716.48486734973
Toda la población,Argentina,2002,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,305433.6044168141,276634.562469585,330048.0452787462
Toda la población,Argentina,2003,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,308417.9978695094,280051.05160005507,335822.340387741
Toda la población,Argentina,2004,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,298608.78165371413,270982.7916398415,324598.3149548235
Toda la población,Argentina,2005,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,295109.9536330688,269638.708948434,321529.86723606545
Toda la población,Argentina,2006,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,299109.0966321671,274866.3932913383,328359.3783043936
Toda la población,Argentina,2007,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,319678.05877793935,293829.73456002894,351180.26851898886
Toda la población,Argentina,2008,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,306597.6454639088,282521.06227319455,336400.0323924213
Toda la población,Argentina,2009,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,307765.63333693886,283920.48648432706,336723.5600023786
Toda la población,Argentina,2010,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,320110.42367635644,294274.520771648,350589.7391984242
Toda la población,Argentina,2011,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,315687.3287351691,288318.61487305263,347420.1819446605
Toda la población,Argentina,2012,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,314791.5948485751,288774.5255462071,344737.7127966022
Toda la población,Argentina,2013,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,316227.8071710743,286911.76778952195,344047.08648010006
Toda la población,Argentina,2014,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,308509.8074479234,279448.05415180925,335122.18012702983
Toda la población,Argentina,2015,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,308159.8921083894,278747.6987239943,334089.8924862151
Toda la población,Argentina,2016,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,318009.58579749486,286673.4075993356,346693.216694714
Toda la población,Argentina,2017,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,310241.87688753055,279698.7796971953,338115.40802554495
Toda la población,Argentina,2018,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,312755.6922416267,283830.73646398867,340831.19541334943
Toda la población,Argentina,2019,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,315511.76928261796,288187.915440857,344595.0957582053
Toda la población,Argentina,2020,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,307221.89072576165,279685.1449851831,335069.02103355713
Toda la población,Argentina,2021,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,337330.52601090295,304525.94131555833,371091.1639041571
Toda la población,Argentina,2022,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,380663.2697092447,341893.1432301572,423069.8058314802
Toda la población,Argentina,2023,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,364739.19099083386,329911.5722131702,409833.8833444738
Toda la población,Estados Unidos de América,1990,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,819636.3337396267,716946.3007118073,912470.3731269666
Toda la población,Estados Unidos de América,1991,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,839770.8693500715,734272.7412962853,939328.0064261294
Toda la población,Estados Unidos de América,1992,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,863492.4566195221,756454.3098225761,968012.2982447648
Toda la población,Estados Unidos de América,1993,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,899970.5511112348,789982.3174558228,1008271.301902141
Toda la población,Estados Unidos de América,1994,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,913601.398838287,800435.4494839726,1025495.5626155826
Toda la población,Estados Unidos de América,1995,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,939881.8460945603,823696.9098614751,1055438.1017402732
Toda la población,Estados Unidos de América,1996,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,962655.793588642,844655.7516036355,1083700.7221877065
Toda la población,Estados Unidos de América,1997,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,994391.8989313598,875308.0023817744,1113665.5223616578
Toda la población,Estados Unidos de América,1998,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1046708.5836850635,926718.7843262544,1168859.137679215
Toda la población,Estados Unidos de América,1999,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1163433.292514095,1038209.0483446865,1289815.3279454384
Toda la población,Estados Unidos de América,2000,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1275888.614326294,1140381.468958901,1417773.2127404367
Toda la población,Estados Unidos de América,2001,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1343707.170589401,1202521.1209761007,1489334.8853766792
Toda la población,Estados Unidos de América,2002,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1397873.4199689715,1253894.5004761813,1541595.461972724
Toda la población,Estados Unidos de América,2003,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1448462.8939234018,1298208.2057254247,1604299.6468245506
Toda la población,Estados Unidos de América,2004,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1469914.1735016492,1324353.6645676687,1637672.7174501014
Toda la población,Estados Unidos de América,2005,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1531607.7248816462,1384288.5661282474,1704056.451448277
Toda la población,Estados Unidos de América,2006,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1575542.037645351,1414590.6449278046,1753318.108314801
Toda la población,Estados Unidos de América,2007,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1625339.6924996746,1456622.2323479406,1808351.0592743582
Toda la población,Estados Unidos de América,2008,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1707921.2345449345,1537161.297642377,1896940.3128915394
Toda la población,Estados Unidos de América,2009,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1756869.914047006,1576595.0271001512,1956358.322655871
Toda la población,Estados Unidos de América,2010,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1879021.242744237,1684955.822899992,2077297.8332464686
Toda la población,Estados Unidos de América,2011,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,2064447.8068340765,1853258.2514360438,2281124.52754551
Toda la población,Estados Unidos de América,2012,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,2172527.8640942555,1954365.1954871581,2398295.359624223
Toda la población,Estados Unidos de América,2013,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,2326169.570653466,2092985.5420399506,2553807.268930331
Toda la población,Estados Unidos de América,2014,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,2421409.107030185,2176911.323645494,2653218.2911943947
Toda la población,Estados Unidos de América,2015,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,2560521.183003986,2298912.2219416187,2810412.5558632705
Toda la población,Estados Unidos de América,2016,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,2657889.9983649817,2381133.417043769,2914210.805498821
Toda la población,Estados Unidos de América,2017,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,2779467.656576038,2483002.9597830176,3041063.587965979
Toda la población,Estados Unidos de América,2018,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,2865906.261082286,2566476.2552159037,3142205.981895417
Toda la población,Estados Unidos de América,2019,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,2965898.5762102203,2674790.0785045098,3248950.21122554
Toda la población,Estados Unidos de América,2020,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,3130724.780634156,2839389.8110530786,3425457.7639483614
Toda la población,Estados Unidos de América,2021,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,3172177.0516759986,2869385.589814165,3481456.4368475294
Toda la población,Estados Unidos de América,2022,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,3268165.3647545846,2930641.513877001,3593830.481827417
Toda la población,Estados Unidos de América,2023,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,3352539.5457390877,2985496.712602823,3683370.5584255992
Toda la población,Perú,1990,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,84601.0675817017,71381.42242228327,99772.17353931686
Toda la población,Perú,1991,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,89308.68062639386,76393.8038654737,103465.82187944543
Toda la población,Perú,1992,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,95380.78897471439,81833.90160439562,110383.44518396638
Toda la población,Perú,1993,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,102311.19291849702,88257.04590434796,117934.85391553618
Toda la población,Perú,1994,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,108684.37903003077,93574.63530263299,126944.99535721367
Toda la población,Perú,1995,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,114754.29268008642,100320.96267961801,134008.24389292396
Toda la población,Perú,1996,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,120770.49149504026,105959.58120693661,141645.50486012144
Toda la población,Perú,1997,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,121734.59027233746,107174.70019218457,140916.46903898296
Toda la población,Perú,1998,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,122260.17108689545,106433.13154757784,139357.0935888503
Toda la población,Perú,1999,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,122935.73541876732,106712.61104778123,138304.614547166
Toda la población,Perú,2000,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,121609.69843245503,101773.42880719833,136207.63694479334
Toda la población,Perú,2001,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,122751.1906562374,100083.00763370038,137836.38825525905
Toda la población,Perú,2002,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,126285.59802490796,101261.60218866046,142624.12598821017
Toda la población,Perú,2003,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,134095.25853969928,105606.66005330006,152552.4062686612
Toda la población,Perú,2004,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,140031.19540215837,108687.98014617487,162475.67926136343
Toda la población,Perú,2005,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,139631.43893732218,107717.48502000936,163989.6744486513
Toda la población,Perú,2006,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,137697.10858958308,105469.25546758593,163166.57167857562
Toda la población,Perú,2007,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,143393.569974577,109965.33084856022,171059.14553569996
Toda la población,Perú,2008,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,149746.65641820082,117009.27685360312,176490.01958162634
Toda la población,Perú,2009,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,155301.16983968925,122501.86285659176,182899.09422594053
Toda la población,Perú,2010,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,160076.81577672774,127943.56900976649,186925.25139819714
Toda la población,Perú,2011,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,158628.5839442162,129210.71167351214,182571.33173825778
Toda la población,Perú,2012,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,156470.6706134686,129642.82332053047,177249.72138374517
Toda la población,Perú,2013,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,152646.62876578595,126145.92172004264,171900.7156651089
Toda la población,Perú,2014,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,148342.10257806056,124543.57514209312,166192.0689882484
Toda la población,Perú,2015,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,145477.85983717188,125333.02420432765,163477.08132786397
Toda la población,Perú,2016,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,150756.8343032668,130333.74602236286,169779.17096905172
Toda la población,Perú,2017,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,166821.6664376093,146864.88119836606,186542.39531338823
Toda la población,Perú,2018,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,176645.6571777998,155236.0794090624,199882.59634450392
Toda la población,Perú,2019,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,185528.64826033174,163635.2747675281,214348.07519114082
Toda la población,Perú,2020,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,190883.452514004,166003.61169068838,218770.1823703916
Toda la población,Perú,2021,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,225806.49075067625,196077.67839564406,264650.106785577
Toda la población,Perú,2022,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,216169.34716959918,186591.76061435853,256335.64564903142
Toda la población,Perú,2023,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,226590.15881758335,191817.86158603933,273439.63926769013
Toda la población,México,1990,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,499408.7249049792,447831.9608711832,554249.8456119911
Toda la población,México,1991,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,524636.9206115314,470862.2603869367,580207.2931502975
